classificacao,cidade,id_lote,codigo_legado,nome_legado,nome_oficial,logradouro_legado,endereco_oficial,unidades_sobrepostas,total_unidades_legado,total_unidades_geo,qtd_lotes,qtd_codigos
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,353262,6341,LUCIMAR LEANDRO II,,AV DR JAHYR ABRAO ESTRELA,"AV DR JAHYR ABRAO ESTRELA CASA 01 , BAIRRO RES PAULO ESTRELA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,102775,5373,LUDOVICO -LPM-20,,R  LRM10,"R LRM10  CASA 01 , BAIRRO RES MENDANHA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,100388,6549,LURDES DIVINO I,,R  LRM2,"R LRM6  CASA 02 , BAIRRO RES MENDANHA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,370288,11969,LUZIA RIBEIRO DOS SANTOS,,AV RIO GRANDE DO SUL,"AV RIO GRANDE DO SUL 17      , BAIRRO S CAMPINAS",7,7,7,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,154782,6243,MAANAIM-229,,R  EF01,"R EF01  CASA 01 , BAIRRO RES VILLAGE SANTA RITA IV",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,131789,6241,MAANAIM-316,,R  CP26,"R CP26  C-01 , BAIRRO LOT CAROLINA PARQUE EXTENSÃO",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,136763,6328,MAANAIM-3200,,R  JOSE PEREIRA BORGES,"R JOSE PEREIRA BORGES  CASA 02 , BAIRRO JD SÃO JOSÉ",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,156502,6240,MAANAIM-34,,R  EF5,"R EF5  CASA 01 , BAIRRO JD ELI FORTE",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,153954,6331,MAANAIM-653,,R  SB18,"R SB18  C-1 , BAIRRO RES SOLAR BOUGAINVILLE",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,156504,6330,MAANAIM-664,,R  EF5,"R EF5  C-1 , BAIRRO JD ELI FORTE",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,143265,6327,MAANAIM-763,,R  RY8,"R RY8  CASA 02 , BAIRRO RES YTAPUÃ",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,159709,6326,MAANAIM-915,,R  JAV6,"R JAV6  C-1 , BAIRRO JD ALPHAVILLE",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,153418,6329,MAANAIM-937,,R  FV25,"R FV25  C-1 , BAIRRO RES FORTE VILLE - EXTENSÃO",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,127024,6325,MAANAIM-990,,R  GP5,"R GP5  CASA 01 , BAIRRO RES GOYAZ PARK",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,129889,6242,MAANAIM-CP-231,,R  CP26,"R CP26  C-1 , BAIRRO LOT CAROLINA PARQUE EXTENSÃO",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,105974,5481,MAANAIM-LRM-45,,R  LRM11,"R LRM11  CASA 01 , BAIRRO RES TUZIMOTO",2,2,2,1,1
