classificacao,cidade,id_lote,codigo_legado,nome_legado,nome_oficial,logradouro_legado,endereco_oficial,unidades_sobrepostas,total_unidades_legado,total_unidades_geo,qtd_lotes,qtd_codigos
REVISAO_CODIGO_MULTILOTE,goiania,108552,5069,RES.GARAVELO B,CONDOMÍNIO NELSON MANDELA 10,AV DA LIBERDADE,"R VC72A S/N APTO101 BL A , BAIRRO CJ VERA CRUZ",64,66,64,2,1
REVISAO_CODIGO_MULTILOTE,goiania,179320,5069,RES.GARAVELO B,,AV DA LIBERDADE,"AV DA LIBERDADE  CASA 01 , BAIRRO S GARAVELO",2,66,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,238000,4593,RES GARCIA,,R  RB25,"R C261  LOJA01 BOX09 , BAIRRO BRO NOVA SUIÇA",8,10,8,2,1
REVISAO_CODIGO_MULTILOTE,goiania,350669,4593,RES GARCIA,,R  RB25,"R RB25 CASA01 , BAIRRO RES RECANTO DO BOSQUE",2,10,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,9226,4216,RES GERALDO ASSIS BARBOSA,RESIDENCIAL GAB GERALDO ASSIS BARBOSA,R  C14,"R C14  AP101.BX04 , BAIRRO S SUDOESTE",12,15,12,2,1
REVISAO_CODIGO_MULTILOTE,goiania,207059,4216,RES GERALDO ASSIS BARBOSA,,R  C14,"R PRESIDENTE MEDISON  CASA 01 , BAIRRO JD PRESIDENTE",3,15,3,2,1
REVISAO_CODIGO_MULTILOTE,goiania,9629,3947,RES GERALDO ZECA,RESIDENCIAL GERALDO ZECA,AV C13,"AV C13  APT.01 , BAIRRO S SUDOESTE",5,7,5,2,1
REVISAO_CODIGO_MULTILOTE,goiania,136498,3947,RES GERALDO ZECA,,AV C13,"R IRMA ALICE BITAR  CASA 01 , BAIRRO JD SÃO JOSÉ",2,7,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,102997,5252,RES. GEVIC CAVALCANTE X,,R  MARIA ISABEL DE FREITAS,"R MARIA ISABEL DE FREITAS  CASA 02 , BAIRRO RES ANA MORAES",2,182,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,151606,5252,RES. GEVIC CAVALCANTE X,RESIDENCIAL JARDIM BUENO,R  MARIA ISABEL DE FREITAS,"R C228 177     AP - 401 , BAIRRO BRO JARDIM AMÉRICA",180,182,180,2,1
REVISAO_CODIGO_MULTILOTE,goiania,141963,5297,RES GIARDINO MARISTA,,R  1141,"R ELO28  CASA 01 , BAIRRO PRQ ELDORADO OESTE",3,25,3,2,1
REVISAO_CODIGO_MULTILOTE,goiania,242513,5297,RES GIARDINO MARISTA,RESIDENCIAL GIARDINO MARISTA,R  1141,"R 1141  AP 300 , BAIRRO S MARISTA",22,25,22,2,1
REVISAO_CODIGO_MULTILOTE,goiania,145364,3362,RES GIOIA RESIDENCI I,RESIDENCIAL AMÉRICA VILLAGE,R  RI7,"R C124  APT 101 , BAIRRO BRO JARDIM AMÉRICA",6,8,6,2,1
REVISAO_CODIGO_MULTILOTE,goiania,167079,3362,RES GIOIA RESIDENCI I,,R  RI7,"R RI7  CASA 01 , BAIRRO RES ITAIPÚ",2,8,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,219688,4351,RES GLAM TERRASSE,,R  42,"R MDV42  CASA 01 , BAIRRO LOT MOINHO DOS VENTOS",3,203,3,2,1
REVISAO_CODIGO_MULTILOTE,goiania,241466,4351,RES GLAM TERRASSE,RESIDENCIAL GLAM TERRASSE,R  42,"R 42 S/N     APT201 , BAIRRO S MARISTA",200,203,200,2,1
REVISAO_CODIGO_MULTILOTE,goiania,169270,5872,RES.GM 3,,R  RI-9,"R RI6  CASA 01 , BAIRRO RES ITAIPÚ",1,3,2,2,2
REVISAO_CODIGO_MULTILOTE,goiania,169370,5872,RES.GM 3,,R  RI-9,"R RI-9  CASA 01 , BAIRRO RES ITAIPÚ",2,3,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,128136,3002,RES.GOIABEIRAS,,R  T47,"R N3  CASA 01 , BAIRRO S DAS NAÇÕES EXTENSÃO",2,14,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,379471,3002,RES.GOIABEIRAS,EDIFÍCIO GOIABEIRAS,R  T47,"R T47  APT.502 , BAIRRO S OESTE",12,14,12,2,1
